language,pretrain,decay-eng,decay-all,decay-mid,ext
aai,0,0,907395,0,0
aak,0,0,2275620,0,0
aau,0,0,1937943,0,0
aaz,0,0,1772325,0,0
aba,0,0,122730,0,0
abi,0,0,4143,0,0
abk,0,0,6698061,0,0
abn,0,0,83685,0,0
abq,0,0,899589,0,0
abs,0,0,4577322,0,0
abt,0,0,3033636,0,0
abx,0,0,949605,0,0
aby,0,0,785667,0,0
abz,0,0,89436,0,0
aca,0,0,271752,0,0
acd,0,0,1754214,0,0
ace,0,0,8335551,0,0
acf,0,0,1618809,0,0
ach,0,0,3374484,0,0
acm,0,0,57865818,0,0
acn,0,0,4503432,0,0
acr,0,0,2661747,0,0
acu,0,0,776286,0,0
ada,0,0,1576197,0,0
ade,0,0,100104,0,0
adh,0,0,37389,0,0
adi,0,0,23910,0,0
adj,0,0,1070049,0,0
adl,0,0,2232,0,0
ady,0,0,9244836,0,0
adz,0,0,275484,0,0
aeb,0,0,197254326,0,0
aer,0,0,143166,0,0
aeu,0,0,1571643,0,0
aey,0,0,1003320,0,0
afr,2662761651,524986551,529435704,541511073,2057062098
agd,0,0,530295,0,0
agg,0,0,1352895,0,0
agm,0,0,545292,0,0
agn,0,0,1017297,0,0
agr,0,0,643794,0,0
agt,0,0,176559,0,0
agu,0,0,1737300,0,0
agw,0,0,2697,0,0
agx,0,0,902955,0,0
aha,0,0,642,0,0
ahk,0,0,92157,0,0
aia,0,0,471591,0,0
aii,0,0,1301943,0,0
aim,0,0,14706,0,0
ain,0,0,238023,0,0
ajg,0,0,85926,0,0
aji,0,0,762030,0,0
ajz,0,0,10122,0,0
akb,0,0,372630,0,0
ake,0,0,166572,0,0
akh,0,0,217827,0,0
akp,0,0,608055,0,0
ald,0,0,378,0,0
alj,0,0,24180,0,0
aln,0,0,4469547,0,0
alp,0,0,577746,0,0
alq,0,0,540513,0,0
als,0,675713635,617142369,675713635,2930481451
alt,0,0,8555913,0,0
aly,0,0,703026,0,0
alz,0,0,1435677,0,0
ame,0,0,192054,0,0
amf,0,0,68772,0,0
amh,0,330433216,243144717,330433216,660524646
ami,0,0,1906842,0,0
amk,0,0,180633,0,0
